consumer_name;city;region;state;store;purchase_id;purchase_date;product_category;product_name;brand;size;color;quantity;unit_price;total_amount;payment_method;loyalty_member;salesperson
Rachel Boyd;Robertschester;South;DC;Bad Birdie;TX01325;5/6/2025;Cap;Bad Birdie Cap;Bad Birdie;L;Blue;3;115.43;346.29;Gift Card;No;Nichole Boyd
Lisa Rivers;Oconnellhaven;South;MS;Peter Millar;TX01326;29/5/2024;Cap;Ashworth Cap;Ashworth;XS;Blue;4;38.49;153.96;Cash;No;Joshua Houston
Marcus Leon;Sheaton;South;DE;Dick's Sporting Goods;TX01327;23/8/2025;Polo;Under Armour Polo;Under Armour;XL;Navy;2;135.83;271.66;Gift Card;Yes;Ryan Jones
Ronald Watson;Montoyamouth;South;DE;Ashworth;TX01328;2/6/2024;Shorts;Under Armour Shorts;Under Armour;XXL;Red;1;146.3;146.3;PayPal;Yes;Rachel Ayers
Nicole West;East Ronaldbury;South;FL;Golf Discount;TX01329;17/5/2025;Cap;Under Armour Cap;Under Armour;L;White;4;43.45;173.8;Debit Card;No;Jon Sloan
Allen Elliott;South Danielville;Midwest;ND;Golf Galaxy;TX01330;11/6/2024;Shorts;Puma Shorts;Puma;S;Pink;1;115.53;115.53;Debit Card;No;Lisa Chambers
Noah Davis;West Kathychester;Northeast;NY;Golf Discount;TX01331;16/6/2024;Shorts;Peter Millar Shorts;Peter Millar;XS;Gray;3;110.86;332.58;Debit Card;No;Terry Vaughn
Stacey Gregory;Sarahshire;West;WA;Dick's Sporting Goods;TX01332;9/12/2023;Visor;Puma Visor;Puma;XS;Pink;1;64.8;64.8;Debit Card;No;Heather Payne
Erin Hill;North Wesley;West;HI;2nd Swing Golf;TX01333;28/9/2024;Dress;Bad Birdie Dress;Bad Birdie;XL;Pink;3;33.97;101.91;Cash;Yes;Barbara Pollard
Taylor Byrd;Snowmouth;Midwest;IA;Bad Birdie;TX01334;3/12/2023;Shorts;Puma Shorts;Puma;M;Red;2;87.69;175.38;Credit Card;No;Misty Peters
Marcus Rivera;Shannonfurt;Northeast;CT;Peter Millar;TX01335;29/4/2025;Skort;Under Armour Skort;Under Armour;L;Blue;1;51.41;51.41;Cash;Yes;Kelly Middleton
Michelle Scott;Williamsville;South;TX;Dick's Sporting Goods;TX01336;31/1/2025;Shorts;Bad Birdie Shorts;Bad Birdie;S;Green;2;73.36;146.72;Cash;Yes;Mary Landry
Amy Pacheco;New Christine;Midwest;IN;Dick's Sporting Goods;TX01337;24/10/2023;Shorts;Under Armour Shorts;Under Armour;L;Beige;1;83.13;83.13;Credit Card;No;Robert Lee
Larry Turner;Lake Kevinfort;West;OR;Original Penguin;TX01338;17/12/2023;Pants;Bad Birdie Pants;Bad Birdie;XS;Navy;2;41.1;82.2;Gift Card;No;Joseph Jackson
John Gray;North Elizabethview;West;OR;Golf Discount;TX01339;10/1/2024;Polo;Original Penguin Polo;Original Penguin;XXL;Pink;2;121.43;242.86;PayPal;No;Travis Lopez
Russell Robertson;West Troy;Midwest;IN;Original Penguin;TX01340;6/8/2025;Pants;Original Penguin Pants;Original Penguin;XL;Red;2;114.01;228.02;Gift Card;No;Jill Holmes
Jamie Patterson;Ashleyshire;Northeast;VT;Ashworth;TX01341;18/5/2024;Shorts;Bad Birdie Shorts;Bad Birdie;XL;Pink;3;35.01;105.03;Credit Card;No;Jon Davis
Robert Wilson;Schmidtville;West;NM;Bad Birdie;TX01342;26/6/2024;Dress;Puma Dress;Puma;XL;Gray;2;31.08;62.16;PayPal;Yes;Brittney Daniels
David White;West Jonathanhaven;Northeast;VT;Golf Discount;TX01343;10/10/2023;Visor;Peter Millar Visor;Peter Millar;XS;Red;2;78.22;156.44;PayPal;Yes;Karen Montes
Renee Moran;Joshuastad;South;WV;Roger Dunn Golf Shops;TX01344;21/1/2024;Shorts;Ashworth Shorts;Ashworth;M;Pink;1;80.86;80.86;PayPal;Yes;Michael Lowe
Douglas Harrison;Piercehaven;West;CA;Golf Galaxy;TX01345;7/7/2025;Jacket;Nike Jacket;Nike;XL;Pink;1;46.91;46.91;Gift Card;Yes;Leon Gardner
Robin Weiss;Turnershire;Northeast;ME;Original Penguin;TX01346;31/8/2024;Shorts;Original Penguin Shorts;Original Penguin;L;Green;2;146.49;292.98;Gift Card;Yes;Mary Richardson
Linda Reynolds;Hooperhaven;West;ID;Golf Apparel Shop;TX01347;16/7/2024;Visor;Nike Visor;Nike;XS;Red;2;29.8;59.6;Gift Card;Yes;Jacqueline Eaton
Brandy Watts;Lisamouth;South;NC;Golf Apparel Shop;TX01348;11/10/2024;Pants;Peter Millar Pants;Peter Millar;XXL;Green;2;75.1;150.2;Debit Card;No;Brian Cooper
Karen Ortiz;New John;West;ID;Peter Millar;TX01349;7/3/2024;Pants;Bad Birdie Pants;Bad Birdie;XS;Blue;3;57.63;172.89;PayPal;Yes;Linda Carney
William Moreno;New Melissaport;West;UT;Ashworth;TX01350;24/7/2024;Polo;Peter Millar Polo;Peter Millar;XL;Gray;1;120.1;120.1;Cash;No;Michael Duffy
Jeffrey Tucker;South Amber;West;MT;Original Penguin;TX01351;7/10/2024;Shorts;Ashworth Shorts;Ashworth;XL;White;3;74.84;224.52;Debit Card;No;Samantha Thomas
Mario Barber;East Angelahaven;Midwest;KS;PGA Tour Superstore;TX01352;10/2/2025;Cap;Puma Cap;Puma;XS;Pink;4;41.23;164.92;PayPal;No;Joseph Anthony
Bradley Logan;Fredfort;West;CA;Ashworth;TX01353;21/2/2024;Jacket;Adidas Jacket;Adidas;S;Blue;1;113.64;113.64;Debit Card;Yes;Kayla Hampton
Tammy Thompson;Williamsonfort;West;AZ;Roger Dunn Golf Shops;TX01354;1/11/2023;Visor;Bad Birdie Visor;Bad Birdie;XXL;Red;3;73.64;220.92;Gift Card;Yes;Patrick Hoover
Luis Lane;New Amychester;South;TX;2nd Swing Golf;TX01355;23/3/2025;Jacket;Peter Millar Jacket;Peter Millar;L;Navy;2;131.8;263.6;Cash;Yes;Maxwell Henderson
Brittany Allen;New Kevinshire;South;WV;Original Penguin;TX01356;7/9/2025;Shorts;Bad Birdie Shorts;Bad Birdie;M;Pink;1;107.6;107.6;Gift Card;Yes;Alex Greene
Dustin Clark;West Carolynhaven;West;NV;Golf Discount;TX01357;12/4/2025;Jacket;Adidas Jacket;Adidas;S;Beige;2;63.01;126.02;PayPal;No;Joseph Castillo
Dr. Cameron Williams;Port Joseph;West;OR;Golf Discount;TX01358;29/10/2023;Polo;Under Armour Polo;Under Armour;XL;Navy;3;68.96;206.88;Cash;No;Andrew Anderson
Emily Mclaughlin;Shawnland;West;WY;PGA Tour Superstore;TX01359;2/3/2025;Dress;Original Penguin Dress;Original Penguin;S;Pink;3;41.47;124.41;Gift Card;Yes;Michelle Miller
Laura Moore;Donaldmouth;Northeast;NH;Dick's Sporting Goods;TX01360;15/11/2024;Skort;Puma Skort;Puma;XS;Green;1;133.12;133.12;Cash;No;Leslie Logan
Angela Livingston;New Davidborough;South;FL;Ashworth;TX01361;7/11/2023;Skort;Bad Birdie Skort;Bad Birdie;XL;Green;2;121.32;242.64;Credit Card;No;Alexandria Ellis
Rachel Allen;Lake Jeffrey;South;AR;Golf Apparel Shop;TX01362;22/5/2025;Cap;Puma Cap;Puma;L;Gray;3;60.8;182.4;Cash;Yes;Danielle Lewis
Tyler Carter;South Greggmouth;Midwest;MI;Dick's Sporting Goods;TX01363;29/11/2023;Dress;Nike Dress;Nike;XL;Red;2;107.03;214.06;Credit Card;No;Dana Hernandez
Daniel White;New Marcus;South;DC;Peter Millar;TX01364;25/8/2024;Cap;Bad Birdie Cap;Bad Birdie;L;Blue;4;28.64;114.56;Debit Card;Yes;Jessica Brown
Robert Harris;Michellefort;West;AZ;Bad Birdie;TX01365;30/12/2023;Pants;Bad Birdie Pants;Bad Birdie;XS;Red;3;56.25;168.75;Gift Card;No;Natalie Kelly
Cody Johnson;North Ambertown;West;OR;Golf Galaxy;TX01366;6/7/2024;Jacket;Nike Jacket;Nike;XXL;Pink;3;88.93;266.79;Debit Card;Yes;Victoria Aguilar
Joe Brown;Kristenborough;South;AL;2nd Swing Golf;TX01367;13/5/2025;Skort;Under Armour Skort;Under Armour;L;Blue;2;41.59;83.18;Credit Card;Yes;Amanda Burns
Stephanie Oconnor;New Carrieside;Midwest;MN;Bad Birdie;TX01368;23/11/2024;Visor;Original Penguin Visor;Original Penguin;S;Gray;1;124.6;124.6;Cash;Yes;Kevin Villanueva
Madison Gibson;Lisaport;West;CA;2nd Swing Golf;TX01369;29/7/2024;Shorts;Puma Shorts;Puma;L;Black;1;118.59;118.59;Cash;No;Gregory Carrillo
Andrea Fields;Lake Katherinestad;South;NC;Golf Galaxy;TX01370;30/3/2024;Cap;Ashworth Cap;Ashworth;XXL;Beige;2;114.48;228.96;Gift Card;Yes;Dr. Jonathan Morse
Matthew Mcclure;Melissamouth;South;KY;Golf Discount;TX01371;24/6/2024;Polo;Ashworth Polo;Ashworth;L;White;2;74.94;149.88;Gift Card;No;Margaret Williams
Ethan Orozco;Walshfurt;South;TN;Ashworth;TX01372;16/12/2023;Pants;Adidas Pants;Adidas;S;Green;3;119.21;357.63;Credit Card;Yes;Jennifer Martinez
Bianca Parsons;Port Teresaview;South;GA;Dick's Sporting Goods;TX01373;12/6/2024;Jacket;Under Armour Jacket;Under Armour;S;Gray;1;58.07;58.07;PayPal;Yes;Dawn Smith
Morgan Richards;South Jeffrey;South;AL;Original Penguin;TX01374;13/7/2024;Visor;Puma Visor;Puma;M;Red;2;111.16;222.32;PayPal;No;Randy Montgomery
Denise Rivera MD;West Michaelport;West;UT;Roger Dunn Golf Shops;TX01375;12/2/2024;Dress;Nike Dress;Nike;S;Navy;3;61.06;183.18;Debit Card;No;Debra Smith
Brittany Walker;East Brian;South;DE;2nd Swing Golf;TX01376;24/9/2023;Dress;Ashworth Dress;Ashworth;XXL;Navy;3;104.25;312.75;Cash;No;Margaret Obrien
Anthony Wolfe;Mendozaberg;West;OR;Roger Dunn Golf Shops;TX01377;3/3/2025;Shorts;Under Armour Shorts;Under Armour;S;Green;2;57.17;114.34;Debit Card;Yes;Deborah Hall
Mia Sweeney;Deborahstad;Midwest;MN;Bad Birdie;TX01378;4/2/2025;Dress;Under Armour Dress;Under Armour;XL;White;2;70.53;141.06;Gift Card;No;Evan Dixon
Stephanie Fisher;Millertown;South;MS;Bad Birdie;TX01379;20/9/2024;Shorts;Peter Millar Shorts;Peter Millar;XXL;Navy;3;131.59;394.77;PayPal;No;Joshua Monroe
Andrea Combs;West John;South;NC;Golf Discount;TX01380;28/7/2025;Shorts;Original Penguin Shorts;Original Penguin;S;Gray;2;26.79;53.58;Credit Card;No;Thomas Joseph
Victoria Peters;Wardview;Midwest;IA;Roger Dunn Golf Shops;TX01381;22/7/2025;Skort;Puma Skort;Puma;S;Green;3;122.26;366.78;Credit Card;Yes;Patrick Robinson
Gabriel Craig;Lake Johnport;South;FL;Golf Discount;TX01382;9/5/2024;Visor;Nike Visor;Nike;XXL;Beige;1;117.68;117.68;PayPal;Yes;Danielle Oneill
David Trevino;West Kyle;South;SC;Peter Millar;TX01383;2/5/2025;Pants;Peter Millar Pants;Peter Millar;XL;Black;2;94.17;188.34;Gift Card;Yes;Barbara Cruz
Laura Collier;East Pamelaberg;Northeast;MA;Golf Discount;TX01384;3/7/2024;Skort;Puma Skort;Puma;M;Navy;3;142.05;426.15;Debit Card;Yes;Richard Ferguson
Beth Brooks;New Ashleyburgh;West;UT;Original Penguin;TX01385;31/5/2024;Visor;Under Armour Visor;Under Armour;XS;Green;3;59.69;179.07;Debit Card;Yes;Marvin Smith
Jeremy Cole;New Crystalshire;Northeast;ME;Golf Apparel Shop;TX01386;5/7/2024;Dress;Nike Dress;Nike;S;Blue;1;98.22;98.22;Gift Card;No;Aaron Hampton
Joseph Anderson;Mistymouth;South;AL;Golf Galaxy;TX01387;7/1/2025;Polo;Peter Millar Polo;Peter Millar;XXL;Black;1;84.8;84.8;Cash;Yes;Robert Edwards
Brianna Wilson;Port Sarahville;South;MS;Carl's Golfland;TX01388;16/4/2025;Pants;Puma Pants;Puma;XL;Gray;2;96.18;192.36;Gift Card;No;Christopher Cooper
Marvin Wilson;Martinezside;Northeast;VT;Original Penguin;TX01389;28/8/2025;Visor;Puma Visor;Puma;XL;Gray;1;56.48;56.48;Cash;No;Wendy Gregory
Megan Hayden;Johnnymouth;South;LA;Peter Millar;TX01390;8/5/2025;Shorts;Peter Millar Shorts;Peter Millar;XL;Gray;3;60.48;181.44;PayPal;No;Clifford Anderson
Jon Rangel;Karichester;South;WV;Carl's Golfland;TX01391;25/8/2025;Jacket;Ashworth Jacket;Ashworth;XXL;Beige;3;63.61;190.83;Cash;Yes;Christopher Hull
Taylor Paul;Lake Juanmouth;West;WY;Worldwide Golf Shops;TX01392;11/8/2025;Visor;Nike Visor;Nike;M;Beige;2;86.98;173.96;Debit Card;Yes;Yvonne Henderson
Anthony Rose;Sanfordmouth;West;WY;Dick's Sporting Goods;TX01393;3/5/2024;Dress;Adidas Dress;Adidas;L;Red;3;110.88;332.64;Debit Card;Yes;Kelly Mitchell
Debra Terry;Stewartside;West;HI;Golf Galaxy;TX01394;12/3/2024;Skort;Puma Skort;Puma;M;Beige;2;65.01;130.02;Gift Card;No;Deborah Cortez
Pamela Cox;Campbellberg;Northeast;NH;Peter Millar;TX01395;22/5/2025;Dress;Puma Dress;Puma;XL;Navy;2;44.56;89.12;Cash;Yes;Gabrielle Weaver
Charles Martinez;West Nathanside;Midwest;OH;Bad Birdie;TX01396;8/10/2024;Shorts;Peter Millar Shorts;Peter Millar;XL;Gray;3;99.41;298.23;Cash;No;Sarah Johnson
Laura Wade;Port Amybury;Midwest;IA;Roger Dunn Golf Shops;TX01397;12/6/2025;Visor;Ashworth Visor;Ashworth;M;Navy;2;66.73;133.46;PayPal;No;Michael Flores
Randy Johnson;Garciafort;South;KY;Roger Dunn Golf Shops;TX01398;14/9/2024;Cap;Bad Birdie Cap;Bad Birdie;L;White;3;31.92;95.76;Cash;No;Christian Richardson
Tiffany Davis;New Melissaport;West;CO;Ashworth;TX01399;10/7/2024;Shorts;Original Penguin Shorts;Original Penguin;M;White;3;50.29;150.87;PayPal;No;Virginia Moran
Jordan Keller;South Kimberly;South;GA;PGA Tour Superstore;TX01400;9/6/2025;Jacket;Bad Birdie Jacket;Bad Birdie;L;Red;3;95.01;285.03;Debit Card;Yes;Joel Harrington
Kristin Anderson;Jonesstad;West;AZ;Golf Apparel Shop;TX01401;12/8/2024;Visor;Ashworth Visor;Ashworth;XS;Black;1;45.06;45.06;Cash;No;Jacqueline Davis
Frank Scott;Brendaport;Northeast;PA;Ashworth;TX01402;18/3/2025;Cap;Original Penguin Cap;Original Penguin;S;Green;4;98.27;393.08;Credit Card;Yes;Christopher Cole
Amy Oconnor;Gonzalestown;Northeast;MA;Peter Millar;TX01403;20/1/2024;Jacket;Ashworth Jacket;Ashworth;XL;Red;2;140.46;280.92;Credit Card;No;Donald Juarez
Billy Lopez;Meganberg;Northeast;ME;Original Penguin;TX01404;4/12/2024;Pants;Peter Millar Pants;Peter Millar;XXL;Pink;1;134.25;134.25;Gift Card;No;Robert Valencia
Michael Smith;South Cindyshire;South;DE;Carl's Golfland;TX01405;11/1/2024;Pants;Original Penguin Pants;Original Penguin;S;Red;3;93.33;279.99;PayPal;No;Laura Cole
David Campbell;North Andrewchester;West;UT;PGA Tour Superstore;TX01406;25/4/2024;Shorts;Adidas Shorts;Adidas;XXL;Red;2;138.15;276.3;Cash;Yes;Kevin Cowan
Ashley Cox;Beckmouth;Midwest;MI;2nd Swing Golf;TX01407;29/1/2025;Visor;Puma Visor;Puma;L;Red;2;49.88;99.76;PayPal;No;Melinda Maynard
John Olsen;Flowersfort;West;CA;Original Penguin;TX01408;25/8/2024;Polo;Under Armour Polo;Under Armour;XS;Pink;2;74.55;149.1;Cash;Yes;Gina Patterson
William Buck;Elliottmouth;South;OK;PGA Tour Superstore;TX01409;1/4/2025;Jacket;Nike Jacket;Nike;XL;Pink;1;144.98;144.98;PayPal;No;Michael Nelson
Trevor Gibbs;New Christopher;Midwest;NE;Bad Birdie;TX01410;24/1/2025;Jacket;Adidas Jacket;Adidas;XXL;Black;3;36.53;109.59;Gift Card;Yes;Jacob Brown
Jessica Horton;Morrisonchester;South;WV;Worldwide Golf Shops;TX01411;16/5/2025;Pants;Original Penguin Pants;Original Penguin;XL;Blue;1;120.9;120.9;Cash;No;Elizabeth Chaney
Brent Morgan;Lake Ronaldbury;South;AL;Golf Discount;TX01412;27/6/2025;Shorts;Peter Millar Shorts;Peter Millar;XS;Navy;3;96.91;290.73;Cash;No;Justin King
Lisa Brown;South Victoriabury;Northeast;NJ;Dick's Sporting Goods;TX01413;3/11/2024;Dress;Nike Dress;Nike;XL;Pink;1;26.08;26.08;PayPal;No;Shawn Henderson
Noah Murphy;Barnesland;Midwest;IL;Roger Dunn Golf Shops;TX01414;4/8/2025;Skort;Peter Millar Skort;Peter Millar;XL;Gray;3;108.19;324.57;Gift Card;No;Teresa Aguilar
William Murray;New Kari;West;NM;Bad Birdie;TX01415;12/8/2024;Shorts;Puma Shorts;Puma;S;Blue;2;47.71;95.42;Credit Card;Yes;Christine Rangel
Tony Phillips;Lake Sandra;West;HI;Worldwide Golf Shops;TX01416;25/1/2024;Jacket;Adidas Jacket;Adidas;M;Red;1;107.28;107.28;Debit Card;No;Daniel Cochran
Henry Mercer DDS;Woodardchester;Midwest;OH;Dick's Sporting Goods;TX01417;8/5/2024;Dress;Puma Dress;Puma;S;Red;1;42.17;42.17;Cash;Yes;Courtney Rivera
Dana Santana;West Luke;South;NC;PGA Tour Superstore;TX01418;19/12/2024;Visor;Puma Visor;Puma;L;White;2;79.83;159.66;Debit Card;Yes;Keith Watkins
Brandon Ferguson;West Kelseyburgh;West;HI;Dick's Sporting Goods;TX01419;26/6/2024;Pants;Adidas Pants;Adidas;S;Beige;3;115.57;346.71;Credit Card;Yes;Crystal Jackson
Jonathan Rhodes;New Erika;West;WY;Carl's Golfland;TX01420;4/7/2024;Pants;Original Penguin Pants;Original Penguin;XXL;Red;3;149.43;448.29;Cash;Yes;Alexis Boyd
Dean Mason;Haysfurt;Midwest;MN;Golf Galaxy;TX01421;10/1/2025;Jacket;Original Penguin Jacket;Original Penguin;M;Beige;1;143.12;143.12;Credit Card;Yes;Andrew Schmidt
Timothy Morris;Brandtstad;South;NC;Ashworth;TX01422;15/3/2025;Cap;Bad Birdie Cap;Bad Birdie;XS;Red;3;143.23;429.69;Credit Card;No;Thomas Thomas
Cassandra Lee;Lake Gary;West;CO;Roger Dunn Golf Shops;TX01423;7/8/2025;Skort;Adidas Skort;Adidas;XXL;Pink;2;26.99;53.98;PayPal;No;Christopher Underwood
Sherry Wallace;East Cynthia;Northeast;PA;Worldwide Golf Shops;TX01424;14/12/2023;Skort;Under Armour Skort;Under Armour;XL;White;1;89.84;89.84;Debit Card;No;Lance Hall
Joseph Thompson;Harrisonborough;West;WY;PGA Tour Superstore;TX01425;10/8/2025;Polo;Puma Polo;Puma;XXL;Green;2;102.2;204.4;Debit Card;No;Wayne Brown
Michael Mcclure;New Patrick;Midwest;MI;Worldwide Golf Shops;TX01426;25/4/2025;Shorts;Under Armour Shorts;Under Armour;M;Black;1;28.76;28.76;Debit Card;No;Stephanie Butler
Linda Walker;East Justin;South;SC;Peter Millar;TX01427;27/6/2025;Jacket;Ashworth Jacket;Ashworth;XL;Red;1;122.92;122.92;PayPal;Yes;Linda Stevens
Brenda Miller;East Stephen;South;MS;PGA Tour Superstore;TX01428;23/3/2025;Shorts;Bad Birdie Shorts;Bad Birdie;XS;Beige;2;120.32;240.64;Gift Card;Yes;Carol Sullivan
Miranda Sanders;Diazshire;Midwest;OH;Golf Galaxy;TX01429;17/7/2025;Polo;Peter Millar Polo;Peter Millar;S;Black;2;148.53;297.06;Credit Card;No;Christopher Long
Timothy Crane PhD;Marthaborough;South;AL;Dick's Sporting Goods;TX01430;7/10/2023;Visor;Under Armour Visor;Under Armour;XL;White;2;84.54;169.08;PayPal;Yes;Roger Carlson
Jennifer Brown;Leeside;Midwest;SD;Peter Millar;TX01431;29/3/2025;Jacket;Adidas Jacket;Adidas;L;Gray;3;128.9;386.7;Gift Card;Yes;Debra Fisher
Cindy Maynard;Brettbury;Northeast;ME;Carl's Golfland;TX01432;18/4/2025;Shorts;Under Armour Shorts;Under Armour;S;Black;3;36.86;110.58;Cash;No;Sean Hill DVM
John Garcia;Lauraburgh;West;AZ;Golf Galaxy;TX01433;10/2/2025;Skort;Puma Skort;Puma;M;Navy;3;107.43;322.29;PayPal;No;Chelsea Mckee
Preston Reynolds;Lake Shirley;West;WA;Bad Birdie;TX01434;14/4/2024;Dress;Under Armour Dress;Under Armour;M;Pink;2;107.66;215.32;Gift Card;Yes;Lawrence Fleming
Steve Jackson;Westbury;West;MT;Ashworth;TX01435;11/6/2024;Cap;Nike Cap;Nike;S;Navy;2;42.88;85.76;Credit Card;Yes;Stacey Jones
Ryan Webb;Lake Stevenville;Midwest;OH;Dick's Sporting Goods;TX01436;29/8/2025;Jacket;Nike Jacket;Nike;XL;Gray;2;132.22;264.44;Debit Card;No;Daniel Cook
Steven Thomas;Port Jonathan;South;KY;Carl's Golfland;TX01437;25/4/2025;Visor;Ashworth Visor;Ashworth;XL;Gray;1;118.13;118.13;Gift Card;No;Julia Griffin
Julie Brown;Montgomeryshire;South;TX;Worldwide Golf Shops;TX01438;20/8/2024;Dress;Peter Millar Dress;Peter Millar;L;Beige;2;107.92;215.84;PayPal;No;Mary Wilson
Michelle Johnson;Kristenfort;Northeast;CT;Ashworth;TX01439;10/2/2025;Jacket;Bad Birdie Jacket;Bad Birdie;XXL;White;3;40.79;122.37;Debit Card;No;Laura Li
Edward Stewart;Port Lauriehaven;Northeast;VT;Golf Galaxy;TX01440;30/3/2025;Dress;Under Armour Dress;Under Armour;M;Green;2;79.53;159.06;Credit Card;Yes;Sarah Young
Carolyn Webb;North Emilyview;South;SC;Golf Apparel Shop;TX01441;17/8/2025;Skort;Under Armour Skort;Under Armour;XXL;Blue;1;49.84;49.84;PayPal;Yes;Michael Sullivan
Luis Barton;Cohenhaven;South;DE;Golf Apparel Shop;TX01442;14/6/2024;Polo;Peter Millar Polo;Peter Millar;XL;Blue;3;143.41;430.23;Gift Card;Yes;Amanda Jones
Brenda Gonzalez;Galvanborough;South;GA;Worldwide Golf Shops;TX01443;3/6/2024;Pants;Under Armour Pants;Under Armour;XXL;Blue;3;44.02;132.06;Gift Card;No;Shannon Rodgers
Nancy Henry;North Nicholasfort;Midwest;WI;Roger Dunn Golf Shops;TX01444;19/6/2025;Polo;Bad Birdie Polo;Bad Birdie;M;Pink;3;146.51;439.53;Cash;No;Ashley Miller
Richard Shaw;East Larrymouth;Midwest;SD;Worldwide Golf Shops;TX01445;29/8/2024;Dress;Nike Dress;Nike;XS;Green;3;94.48;283.44;PayPal;Yes;Jason Lewis
David Garcia;Martinezmouth;West;ID;Bad Birdie;TX01446;12/6/2024;Pants;Nike Pants;Nike;L;Navy;1;85.13;85.13;Debit Card;Yes;Kenneth Smith
Paul Garcia;Jeffreyland;South;SC;Ashworth;TX01447;2/3/2024;Shorts;Bad Birdie Shorts;Bad Birdie;L;Blue;1;129.3;129.3;Credit Card;Yes;Laura Baker
Chelsea Blankenship;Gonzalezbury;Midwest;KS;Worldwide Golf Shops;TX01448;9/8/2024;Cap;Adidas Cap;Adidas;XXL;Navy;2;80.43;160.86;PayPal;No;Casey Smith
Michael Flores;West Andrew;Northeast;NY;Peter Millar;TX01449;28/5/2024;Pants;Ashworth Pants;Ashworth;XL;Black;3;99.82;299.46;Debit Card;No;Christie Liu
Kyle Mcgee;Adamstown;Midwest;ND;Golf Galaxy;TX01450;1/11/2024;Visor;Under Armour Visor;Under Armour;XS;Red;2;143.7;287.4;Credit Card;No;Brandon Davis
Darren George;Port Charlesside;Midwest;IN;Golf Galaxy;TX01451;16/10/2024;Visor;Bad Birdie Visor;Bad Birdie;XL;Navy;3;111.44;334.32;Cash;No;Christine Ruiz
Mary Carlson;Port Davidfort;Midwest;IA;Golf Apparel Shop;TX01452;21/8/2024;Pants;Adidas Pants;Adidas;XXL;Red;1;133.68;133.68;Cash;No;Christy Johnston
Monica Bass;South Kimberly;South;VA;PGA Tour Superstore;TX01453;2/3/2025;Pants;Ashworth Pants;Ashworth;XXL;Green;2;105.04;210.08;PayPal;No;Latasha Campbell DDS
Dennis Lucas;East Jeffreyburgh;West;WA;Roger Dunn Golf Shops;TX01454;12/11/2023;Jacket;Adidas Jacket;Adidas;XS;Black;3;125.76;377.28;Debit Card;No;Brandon Hudson
John Jones;New Timothy;Midwest;IA;Bad Birdie;TX01455;14/8/2025;Cap;Ashworth Cap;Ashworth;XS;Gray;4;100.84;403.36;Gift Card;No;Daniel Moore
Steven Smith;South Breanna;West;CA;Golf Apparel Shop;TX01456;30/3/2025;Cap;Nike Cap;Nike;XL;Black;4;129.79;519.16;Credit Card;Yes;Ryan Trujillo DDS
Jason Jensen;New Amy;Northeast;VT;Ashworth;TX01457;23/3/2025;Skort;Peter Millar Skort;Peter Millar;XL;Pink;2;114.8;229.6;Credit Card;No;Angela Smith
David Chavez;East Regina;West;CO;Ashworth;TX01458;22/5/2024;Visor;Original Penguin Visor;Original Penguin;XL;Beige;1;142.53;142.53;Cash;Yes;Kathryn Clark
Haley Kennedy;East Maryland;Midwest;MN;Bad Birdie;TX01459;14/10/2024;Shorts;Nike Shorts;Nike;XXL;Red;1;61.54;61.54;Cash;Yes;Jeffrey Fox
Andrew Kelly;Williammouth;West;ID;Golf Discount;TX01460;4/3/2025;Dress;Peter Millar Dress;Peter Millar;XXL;Red;2;146.71;293.42;Debit Card;No;Andrew Davis
Lauren Bryan;South Janeberg;South;KY;Ashworth;TX01461;8/10/2023;Polo;Peter Millar Polo;Peter Millar;L;Green;1;51.18;51.18;Gift Card;No;Jessica Coleman
Dawn Jones;Robinsonton;West;MT;Dick's Sporting Goods;TX01462;1/12/2023;Jacket;Under Armour Jacket;Under Armour;L;Black;2;68.99;137.98;Gift Card;Yes;Laura Thompson
Gregory Shields;Karenchester;Midwest;SD;Roger Dunn Golf Shops;TX01463;14/12/2024;Pants;Adidas Pants;Adidas;XXL;Pink;2;102.73;205.46;Debit Card;No;James Chen
Susan Gomez;North Josephbury;Midwest;WI;Roger Dunn Golf Shops;TX01464;18/4/2024;Visor;Peter Millar Visor;Peter Millar;M;Gray;2;119.36;238.72;Debit Card;No;Mark Calhoun
Teresa Russo;Dianaton;Northeast;NJ;Golf Galaxy;TX01465;9/5/2025;Skort;Ashworth Skort;Ashworth;XL;Beige;2;119.61;239.22;Gift Card;Yes;Angel Miller
Mr. James Smith;Port Charlesborough;South;SC;Bad Birdie;TX01466;27/12/2023;Pants;Puma Pants;Puma;XS;Black;3;99.76;299.28;Cash;No;Gina Figueroa
Kathryn Dyer;West Andrewport;Midwest;IL;Original Penguin;TX01467;7/3/2025;Jacket;Peter Millar Jacket;Peter Millar;L;Navy;2;37.96;75.92;PayPal;Yes;Gregory Fox
Sherry Vance;Harrisshire;Midwest;SD;Carl's Golfland;TX01468;12/7/2025;Visor;Nike Visor;Nike;S;Beige;1;108.45;108.45;PayPal;Yes;Carrie Johnson
Brian Little;West Jeremy;South;LA;Carl's Golfland;TX01469;19/1/2024;Skort;Puma Skort;Puma;S;Gray;3;126.45;379.35;Debit Card;Yes;Michael Hall
Julia Allen;Lake Karenland;Midwest;NE;Carl's Golfland;TX01470;10/6/2025;Polo;Original Penguin Polo;Original Penguin;L;Pink;3;93.91;281.73;Gift Card;Yes;Matthew Welch
